Rail;Radius;Profile;Load;Condition;Gauge;month 1;month 2;month 3;month 4;month 5;month 6;month 7;month 8;month 9;month 10;month 11;month 12
Inner;1465;MB4;32,5;H-index;1440;0,0167;0,0337;0,0539;0,069;0,0888;0,1076;0,122;0,1323;0,1449;0,1647;0,1733;0,1845
Inner;1465;MB4;32,5;H-index;1445;0,0152;0,0353;0,0551;0,0733;0,0924;0,1075;0,1195;0,1351;0,1527;0,1718;0,1808;0,1884
Inner;1465;MB4;32,5;H-index;1450;0,0244;0,0502;0,0666;0,0821;0,0957;0,1083;0,1256;0,1405;0,1625;0,18;0,185;0,189
Inner;1465;MB4;32,5;Wear;1440;0,0258;0,0496;0,0801;0,1012;0,1231;0,1482;0,1713;0,1953;0,2130;0,2301;0,2520;0,2648
Inner;1465;MB4;32,5;Wear;1445;0,0252;0,0562;0,0817;0,1043;0,1307;0,1582;0,1804;0,1997;0,2213;0,2484;0,2755;0,2934
Inner;1465;MB4;32,5;Wear;1450;0,0332;0,0663;0,0942;0,1143;0,1437;0,1616;0,1819;0,1970;0,2259;0,2484;0,2755;0,2934
Inner;1465;MB4;32,5;RCF-residual;1440;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0041;0,0124;0,0194;0,0231;0,0245;0,0281
Inner;1465;MB4;32,5;RCF-residual;1445;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0059;0,0089;0,0146;0,0188;0,0251;0,0308
Inner;1465;MB4;32,5;RCF-residual;1450;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0092;0,0189;0,0262;0,0286;0,0301;0,0327
Inner;1465;MB4;32,5;RCF-depth;1440;0,0041;0,0124;0,0194;0,0231;0,0245;0,0281;0,0294;0,0301;0,0303;0,0303;0,0307;0,0376
Inner;1465;MB4;32,5;RCF-depth;1445;0,0059;0,0089;0,0146;0,0188;0,0251;0,0308;0,0322;0,0328;0,0331;0,0331;0,0331;0,0331
Inner;1465;MB4;32,5;RCF-depth;1450;0,0092;0,0189;0,0262;0,0286;0,0301;0,0327;0,0339;0,0393;0,0417;0,0331;0,0331;0,0331
High;1465;MB4;32,5;H-index;1440;0,00106591;0,003193174;0,007974092;0,011260998;0,019131959;0,034081576;0,043328509;0,049694515;0,063277533;0,083434077;0,097794415;0,10998481
High;1465;MB4;32,5;H-index;1445;0,001686515;0,005966718;0,009461996;0,014763867;0,023697536;0,035208478;0,045294447;0,058818619;0,073292289;0,089876732;0,104801502;0,115821119
High;1465;MB4;32,5;H-index;1450;0,00257265;0,008127535;0,01444118;0,022553359;0,030745712;0,040157256;0,055454814;0,069604804;0,084959097;0,089876732;0,104801502;0,115821119
High;1465;MB4;32,5;Wear;1440;0,0604;0,1050;0,1360;0,1707;0,2025;0,2278;0,2530;0,2761;0,2949;0,3203;0,3351;0,3566
High;1465;MB4;32,5;Wear;1445;0,0682;0,1117;0,1510;0,1839;0,2109;0,2360;0,2635;0,2873;0,3085;0,3304;0,3496;0,3704
High;1465;MB4;32,5;Wear;1450;0,0820;0,1212;0,1596;0,1907;0,2200;0,2457;0,2771;0,3035;0,3233;0,3304;0,3496;0,3704
High;1465;MB4;32,5;RCF-depth;1440;0,0048;0,0055;0,0062;0,0070;0,0070;0,0070;0,0070;0,0070;0,0070;0,0070;0,0070;0,0071
High;1465;MB4;32,5;RCF-depth;1445;0,0098;0,0109;0,0109;0,0114;0,0114;0,0114;0,0114;0,0114;0,0114;0,0114;0,0114;0,0114
High;1465;MB4;32,5;RCF-depth;1450;0,0040;0,0043;0,0047;0,0047;0,0049;0,0049;0,0049;0,0049;0,0049;0,0114;0,0114;0,0114
High;1465;MB4;32,5;RCF-residual;1440;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0048;0,0055;0,0062;0,0070;0,0070;0,0070
High;1465;MB4;32,5;RCF-residual;1445;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0098;0,0109;0,0109;0,0114;0,0114;0,0114
High;1465;MB4;32,5;RCF-residual;1450;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0040;0,0043;0,0047;0,0047;0,0049;0,0049
Inner;Tangent;MB4;32,5;H-index;1440;0,0004;0,0010;0,0012;0,0016;0,0024;0,0034;0,0057;0,0066;0,0103;0,0247;0,0281;0,0311
Inner;Tangent;MB4;32,5;H-index;1445;0,0011;0,0016;0,0021;0,0044;0,0062;0,0085;0,0121;0,0158;0,0195;0,0247;0,0281;0,0311
Inner;Tangent;MB4;32,5;Wear;1440;0,0201;0,0407;0,0552;0,0659;0,0902;0,1128;0,1295;0,1392;0,1505;0,1640;0,1711;0,1825
Inner;Tangent;MB4;32,5;Wear;1445;0,0299;0,0617;0,0885;0,1048;0,1192;0,1307;0,1417;0,1470;0,1558;0,1640;0,1711;0,1825
Inner;Tangent;MB4;32,5;RCF-residual;1440;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0007;0,0013;0,0014;0,0041;0,0081;0,0090
Inner;Tangent;MB4;32,5;RCF-residual;1445;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0002;0,0003;0,0005;0,0045;0,0064;0,0096
Inner;Tangent;MB4;32,5;RCF-depth;1440;0,0007;0,0013;0,0014;0,0041;0,0081;0,0090;0,0104;0,0126;0,0218;0,0455;0,0485;0,0588
Inner;Tangent;MB4;32,5;RCF-depth;1445;0,0002;0,0003;0,0005;0,0045;0,0064;0,0096;0,0144;0,0244;0,0366;0,0455;0,0485;0,0588
High;Tangent;MB4;32,5;H-index;1440;0,0005;0,0029;0,0041;0,0055;0,0071;0,0094;0,0111;0,0143;0,0168;0,0259;0,0295;0,0334
High;Tangent;MB4;32,5;H-index;1445;0,0040;0,0065;0,0070;0,0091;0,0113;0,0155;0,0190;0,0218;0,0245;0,0259;0,0295;0,0334
High;Tangent;MB4;32,5;Wear;1440;0,0179;0,0313;0,0429;0,0544;0,0667;0,0819;0,0938;0,1089;0,1233;0,1520;0,1596;0,1648
High;Tangent;MB4;32,5;Wear;1445;0,0196;0,0401;0,0559;0,0794;0,0962;0,1087;0,1185;0,1272;0,1386;0,1520;0,1596;0,1648
High;Tangent;MB4;32,5;RCF-residual;1440;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0041;0,0088;0,0142;0,0261;0,0391;0,0473
High;Tangent;MB4;32,5;RCF-residual;1445;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0026;0,0048;0,0077;0,0133;0,0177;0,0282
High;Tangent;MB4;32,5;RCF-depth;1440;0,0041;0,0088;0,0142;0,0261;0,0391;0,0473;0,0567;0,0605;0,0637;0,0872;0,1026;0,1126
High;Tangent;MB4;32,5;RCF-depth;1445;0,0026;0,0048;0,0077;0,0133;0,0177;0,0282;0,0408;0,0559;0,0650;0,0872;0,1026;0,1126
