Rail;Radius;Profile;Load;Condition;Gauge;month 1;month 2;month 3;month 4;month 5;month 6;month 7;month 8;month 9;month 10;month 11;month 12
Inner;1465;MB4;32,5;h-index;1440;0,53;0,53;0,53;0,53;0,53;0,53;0,53;0,623;0,743;0,833;0,938;1,043
Inner;1465;MB4;32,5;h-index;1445;0,53;0,53;0,53;0,53;0,53;0,53;0,623;0,773;0,923;1,058;1,208;1,208
Inner;1465;MB4;32,5;wear;1440;0,079;0,093;0,101;0,106;0,115;0,119;0,237;0,322;0,409;0,462;0,537;0,608
Inner;1465;MB4;32,5;wear;1445;0,095;0,119;0,138;0,163;0,169;0,174;0,324;0,422;0,53;0,619;0,714;0,715
Inner;1465;MB4;32,5;rcf-depth;1440;0,016;0,028;0,04;0,059;0,079;0,096;0,097;0,097;0,097;0,097;0,097;0,097
Inner;1465;MB4;32,5;rcf-depth;1445;0,023;0,043;0,064;0,085;0,102;0,119;0,12;0,121;0,121;0,121;0,121;0,121
Inner;1465;MB4;32,5;rcf-residual;1440;0;0,003;0,021;0,043;0,062;0,099;0,12;0,121;0,121;0,121;0,121;0,121
Inner;1465;MB4;32,5;rcf-residual;1445;0;0,003;0,021;0,043;0,062;0,099;0,12;0,121;0,121;0,121;0,121;0,121
High;1465;MB4;32,5;H-index;1440;0,53;0,53;0,53;0,53;0,53;0,53;0,53;0,623;0,743;0,833;0,938;1,043
High;1465;MB4;32,5;H-index;1445;0,53;0,53;0,53;0,53;0,53;0,53;0,623;0,773;0,923;1,058;1,208;1,208
High;1465;MB4;32,5;Wear;1440;0,157;0,216;0,244;0,254;0,291;0,306;0,405;0,527;0,667;0,773;0,864;0,975
High;1465;MB4;32,5;Wear;1445;0,188;0,22;0,241;0,257;0,261;0,281;0,372;0,497;0,652;0,781;0,923;0,938
High;1465;MB4;32,5;rcf-depth;1440;0,01;0,02;0,027;0,033;0,04;0,045;0,046;0,046;0,046;0,046;0,046;0,046
High;1465;MB4;32,5;rcf-depth;1445;0,014;0,024;0,032;0,041;0,05;0,056;0,058;0,058;0,058;0,058;0,058;0,058
High;1465;MB4;32,5;rcf-residual;1440;0;0;0,011;0,02;0,028;0,044;0,058;0,058;0,058;0,058;0,058;0,058
High;1465;MB4;32,5;rcf-residual;1445;0;0;0,011;0,02;0,028;0,044;0,058;0,058;0,058;0,058;0,058;0,058
