Rail;Radius;Profile;Load;Condition;Gauge;month 1;month 2;month 3;month 4;month 5;month 6;month 7;month 8;month 9;month 10;month 11;month 12
Inner;1465;MB4;32,5;h-index;1440;0,033724842;0,068969253;0,107582927;0,132258214;0,16465399;0,184486215;0,204660431;0,235013105;0,268220674;0,295159957;0,320935296;0,354511164
Inner;1465;MB4;32,5;h-index;1445;0,035310167;0,073280164;0,107453995;0,1351423;0,171794205;0,188383549;0,21485494;0,24623582;0,278941882;0,305113726;0,332937166;0,365246652
Inner;1465;MB4;32,5;h-index;1450;0,050177096;0,082145259;0,108324395;0,140499106;0,21485494;0,24623582;0,278941882;0,305113726;0,332937166;0,365246652;0,365246652;0,365246652
Inner;1465;MB4;32,5;wear;1440;0,04964259;0,101229861;0,148232741;0,195253173;0,230117809;0,26480257;0,293288637;0,330336842;0,379294912;0,413602118;0,44681424;0,488317217
Inner;1465;MB4;32,5;wear;1445;0,0562484;0,10433995;0,158217509;0,19974538;0,248396973;0,29343374;0,332124687;0,378300245;0,419410574;0,452889659;0,490561993;0,530992455
Inner;1465;MB4;32,5;wear;1450;0,06634493;0,114266157;0,161589683;0,196960632;0,419410574;0,452889659;0,490561993;0,530992455;0,530992455;0,530992455;0,530992455;0,530992455
Inner;1465;MB4;32,5;rcf-depth;1440;0,012375457;0,023058908;0,028148398;0,030118757;0,030274954;0,037618235;0,040143257;0,042651035;0,043089312;0,043096898;0,043101034;0,043101268
Inner;1465;MB4;32,5;rcf-depth;1445;0,008915995;0,018832325;0,030799609;0,03278027;0,033127744;0,033137261;0,034122809;0,034207082;0,034247059;0,034251769;0,034252162;0,034263331
Inner;1465;MB4;32,5;rcf-depth;1450;0,018897388;0,028602723;0,032675893;0,039278309;0,034207082;0,034247059;0,034251769;0,034252162;0,034263331;0,034263331;0,034263331;0,034263331
Inner;1465;MB4;32,5;rcf-residual;1440;0;0;0,0069522;0,00696347;0,007045923;0,007055248;0,007055248;0,007055248;0,007055248;0,007055328;0,007055343;0,007059697
Inner;1465;MB4;32,5;rcf-residual;1445;0;0;0,011442702;0,011442868;0,011443058;0,011444121;0,011470098;0,011470098;0,011470098;0,011470098;0,011470098;0,011470098
Inner;1465;MB4;32,5;rcf-residual;1450;0;0;0,004872858;0,004881548;0,011444121;0,011470098;0,011470098;0,011470098;0,011470098;0,011470098;0,011470098;0,011470098
High;1465;MB4;32,5;H-index;1440;0,003193174;0,011260998;0,034081576;0,049694515;0,083434077;0,10998481;0,133576505;0,159942759;0,18871472;0,21498693;0,243022898;0,278005377
High;1465;MB4;32,5;H-index;1445;0,005966718;0,014763867;0,035208478;0,058818619;0,089876732;0,115821119;0,142730507;0,175043755;0,208240398;0,234128962;0,261307885;0,295251032
High;1465;MB4;32,5;H-index;1450;0,008127535;0,022553359;0,040157256;0,069604804;0,142730507;0,175043755;0,208240398;0,234128962;0,261307885;0,295251032;0,295251032;0,295251032
High;1465;MB4;32,5;Wear;1440;0,104967865;0,170686177;0,227821699;0,276076271;0,320254849;0,35657467;0,39482318;0,426515977;0,451820341;0,483516392;0,525452369;0,565908651
High;1465;MB4;32,5;Wear;1445;0,111709291;0,183901162;0,235995547;0,287318348;0,330357517;0,370351314;0,403082086;0,441532939;0,476043021;0,513018031;0,54353462;0,580254728
High;1465;MB4;32,5;Wear;1450;0,121170157;0,190719546;0,245734021;0,303469872;0,370351314;0,403082086;0,441532939;0,476043021;0,513018031;0,54353462;0,580254728;0,580254728
High;1465;MB4;32,5;rcf-depth;1440;0,005472671;0,006951654;0,0069522;0,00696347;0,007045923;0,007055248;0,007055248;0,007055248;0,007055248;0,007055328;0,007055343;0,007059697
High;1465;MB4;32,5;rcf-depth;1445;0;0;0;0;0;0;0;0;0;0;0;0
High;1465;MB4;32,5;rcf-depth;1450;0,004267953;0,004669716;0,004872858;0,004881548;0,004881548;0,004881548;0,004881548;0,004881548;0,004881548;0,004881548;0,004881548;0,004881548
High;1465;MB4;32,5;rcf-residual;1440;0;0;0,028148398;0,030118757;0,030274954;0,037618235;0,040143257;0,042651035;0,043089312;0,043096898;0,043101034;0,043101268
High;1465;MB4;32,5;rcf-residual;1445;0;0,000176756;0,030799609;0,03278027;0,033127744;0,033137261;0,034122809;0,034207082;0,034247059;0,034251769;0,034252162;0,034263331
High;1465;MB4;32,5;rcf-residual;1450;0;0,017552991;0,032675893;0,039278309;0,034122809;0,034207082;0,034247059;0,034251769;0,034252162;0,034263331;0,034263331;0,034263331
Inner;Tangent;MB4;32,5;h-index;1440;0,033724842;0,068969253;0,107582927;0,132258214;0,16465399;0,184486215;0,204660431;0,235013105;0,268220674;0,295159957;0,320935296;0,354511164
Inner;Tangent;MB4;32,5;h-index;1445;0,035310167;0,073280164;0,107453995;0,1351423;0,171794205;0,188383549;0,21485494;0,24623582;0,278941882;0,305113726;0,332937166;0,365246652
Inner;Tangent;MB4;32,5;h-index;1450;0,050177096;0,082145259;0,108324395;0,140499106;0,21485494;0,24623582;0,278941882;0,305113726;0,332937166;0,365246652;0,365246652;0,365246652
Inner;Tangent;MB4;32,5;wear;1440;0,04964259;0,101229861;0,148232741;0,195253173;0,230117809;0,26480257;0,293288637;0,330336842;0,379294912;0,413602118;0,44681424;0,488317217
Inner;Tangent;MB4;32,5;wear;1445;0,0562484;0,10433995;0,158217509;0,19974538;0,248396973;0,29343374;0,332124687;0,378300245;0,419410574;0,452889659;0,490561993;0,530992455
Inner;Tangent;MB4;32,5;wear;1450;0,06634493;0,114266157;0,161589683;0,196960632;0,419410574;0,452889659;0,490561993;0,530992455;0,530992455;0,530992455;0,530992455;0,530992455
Inner;Tangent;MB4;32,5;rcf-depth;1440;0,012375457;0,023058908;0,028148398;0,030118757;0,030274954;0,037618235;0,040143257;0,042651035;0,043089312;0,043096898;0,043101034;0,043101268
Inner;Tangent;MB4;32,5;rcf-depth;1445;0,008915995;0,018832325;0,030799609;0,03278027;0,033127744;0,033137261;0,034122809;0,034207082;0,034247059;0,034251769;0,034252162;0,034263331
Inner;Tangent;MB4;32,5;rcf-depth;1450;0,018897388;0,028602723;0,032675893;0,039278309;0,034207082;0,034247059;0,034251769;0,034252162;0,034263331;0,034263331;0,034263331;0,034263331
Inner;Tangent;MB4;32,5;rcf-residual;1440;0;0;0,0069522;0,00696347;0,007045923;0,007055248;0,007055248;0,007055248;0,007055248;0,007055328;0,007055343;0,007059697
Inner;Tangent;MB4;32,5;rcf-residual;1445;0;0;0,011442702;0,011442868;0,011443058;0,011444121;0,011470098;0,011470098;0,011470098;0,011470098;0,011470098;0,011470098
Inner;Tangent;MB4;32,5;rcf-residual;1450;0;0;0,004872858;0,004881548;0,011444121;0,011470098;0,011470098;0,011470098;0,011470098;0,011470098;0,011470098;0,011470098
High;Tangent;MB4;32,5;H-index;1440;0,003193174;0,011260998;0,034081576;0,049694515;0,083434077;0,10998481;0,133576505;0,159942759;0,18871472;0,21498693;0,243022898;0,278005377
High;Tangent;MB4;32,5;H-index;1445;0,005966718;0,014763867;0,035208478;0,058818619;0,089876732;0,115821119;0,142730507;0,175043755;0,208240398;0,234128962;0,261307885;0,295251032
High;Tangent;MB4;32,5;H-index;1450;0,008127535;0,022553359;0,040157256;0,069604804;0,142730507;0,175043755;0,208240398;0,234128962;0,261307885;0,295251032;0,295251032;0,295251032
High;Tangent;MB4;32,5;Wear;1440;0,104967865;0,170686177;0,227821699;0,276076271;0,320254849;0,35657467;0,39482318;0,426515977;0,451820341;0,483516392;0,525452369;0,565908651
High;Tangent;MB4;32,5;Wear;1445;0,111709291;0,183901162;0,235995547;0,287318348;0,330357517;0,370351314;0,403082086;0,441532939;0,476043021;0,513018031;0,54353462;0,580254728
High;Tangent;MB4;32,5;Wear;1450;0,121170157;0,190719546;0,245734021;0,303469872;0,370351314;0,403082086;0,441532939;0,476043021;0,513018031;0,54353462;0,580254728;0,580254728
High;Tangent;MB4;32,5;rcf-depth;1440;0,005472671;0,006951654;0,0069522;0,00696347;0,007045923;0,007055248;0,007055248;0,007055248;0,007055248;0,007055328;0,007055343;0,007059697
High;Tangent;MB4;32,5;rcf-depth;1445;0;0;0;0;0;0;0;0;0;0;0;0
High;Tangent;MB4;32,5;rcf-depth;1450;0,004267953;0,004669716;0,004872858;0,004881548;0,004881548;0,004881548;0,004881548;0,004881548;0,004881548;0,004881548;0,004881548;0,004881548
High;Tangent;MB4;32,5;rcf-residual;1440;0;0;0,028148398;0,030118757;0,030274954;0,037618235;0,040143257;0,042651035;0,043089312;0,043096898;0,043101034;0,043101268
High;Tangent;MB4;32,5;rcf-residual;1445;0;0,000176756;0,030799609;0,03278027;0,033127744;0,033137261;0,034122809;0,034207082;0,034247059;0,034251769;0,034252162;0,034263331
High;Tangent;MB4;32,5;rcf-residual;1450;0;0,017552991;0,032675893;0,039278309;0,034122809;0,034207082;0,034247059;0,034251769;0,034252162;0,034263331;0,034263331;0,034263331
