Year;CO2_Valuation (kr/kg Co2e)
2019;1,38
2020;1,52063
2021;1,66126
2022;1,80189
2023;1,94252
2024;2,08315
2025;2,22378
2026;2,36441
2027;2,50504
2028;2,64567
2029;2,7863
2030;2,92693
2031;3,06756
2032;3,20819
2033;3,34882
2034;3,48945
2035;3,63008
2036;3,77071
2037;3,91134
2038;4,05197
2039;4,1926
2040;4,33323
2041;4,47386
2042;4,61449
2043;4,75512
2044;4,89575
2045;5,03638
2046;5,053125148
2047;5,061968117
2048;5,070826561
2049;5,079700508
2050;5,088589984
2051;5,097495016
2052;5,106415633
2053;5,11535186
2054;5,124303726
2055;5,133271257
2020;1,52
2021;1,66
2022;1,8
2023;1,94
2024;2,08
2025;2,22
2026;2,36
2027;2,51
2028;2,65
2029;2,79
2030;2,93
2031;3,07
2032;3,21
2033;3,35
2034;3,49
2035;3,63
2036;3,77
2037;3,91
2038;4,05
2039;4,19
2040;4,33
2041;4,47
2042;4,61
2043;4,76
2044;4,9
2045;5,04
2046;5,05
2047;5,06
2048;5,07
2049;5,08
2050;5,09
2051;5,1
2052;5,11
2053;5,12
2054;5,12
2055;5,13
