Bdl;Km;+m;Kmti;+mti;spm;UNE;spår;Pl/Str;objnr;Rälmodell;Räl vikt(kg/m);Rällängd(m);Skarvtyp;Inläggn.år räl;Tillv.år räl;Rev.klass räl;Tillverkare räl;Stålsort räl;Sliper typ;Sliperavstånd(mm);Inläggn.år sliper;Tillverkningsår;Tillverkare sliper;Slipermatta;Befästning typ;Klämma;Isolator;Mellanlägg;Ballast typ;Tillverkare;Inl/ren.år ballast;Tjocklek(cm från suk);Besiktningsklass;Bantyp;Stråk;Besiktningsklass bana;Spår Huvud/Sido;Infrastrukturägare;Infrastrukturförvaltare;Underhållsdistrikt;UH.kontraktsområde Bas;UH.entreprenör Bas;Status järnvägsnät;Funktionella system;Anläggningsregion;Rälmodell_Räl vikt(kg/m)_Sliper typ_Befästning typ
001;38;785;40;478;1657;E;;Bfo-Tjs;31729;BJ;32;10;S;1927;1900;Ny;CAM;?;T;880;1927;0;?;-;R-spik;-;-;-;G;?;1927;0;ej;[Saknas];[Saknas];ej;nhsp;TRV;DVVJ;Övr;[Saknas];[Saknas];Öppen;[Saknas];[Saknas];BJ_32_T_R-spik
001;40;478;40;953;475;E;;Tjs;31730;BJ;32;10;S;1927;1920;Ny;TREB;?;T;890;1927;0;?;-;R-spik;-;-;-;G;?;1927;0;ej;[Saknas];[Saknas];ej;nhsp;TRV;DVVJ;Övr;[Saknas];[Saknas];Öppen;[Saknas];[Saknas];BJ_32_T_R-spik
001;40;953;43;276;2310;E;;Tjs-Bef;12119;BJ;32;10;S;1927;1920;Ny;TREB;?;T;890;1927;0;?;-;R-spik;-;-;-;G;?;1927;0;ej;[Saknas];[Saknas];ej;nhsp;TRV;DVVJ;Övr;[Saknas];[Saknas];Öppen;[Saknas];[Saknas];BJ_32_T_R-spik
001;43;276;43;515;239;E;z2;Bef;10500;BJ;32;10;S;1927;1920;Ny;TREB;?;T;890;1927;0;?;-;R-spik;-;-;-;G;?;1927;0;ej;[Saknas];[Saknas];ej;nhsp;TRV;DVVJ;Övr;[Saknas];[Saknas];Öppen;[Saknas];[Saknas];BJ_32_T_R-spik
111;1417;874;1422;705;4831;E;;Pea-Kv;11570;E1;60;L;L;2011;2011;Ny;DO;R350LHT;B2.5;600;2009;2009;ABET;-;P-Ec;eGRÖN;LJGRÖN;e10;M1;KGS;2009;30;b4;3;21;b4;nhsp;TRV;TRV;Nord;20102999;bdx;Öppen;FS MB;Norra;E1_60_B2.5_P-Ec
111;1422;705;1422;917;212;E;1;Kv;9799;UIC;60;L;L;2009;2009;Ny;DO;R350LHT;B2.5;600;2009;2009;ABET;-;P-Ec;?;?;e10;M1;?;2009;30;b4;3;21;b4;nhsp;TRV;TRV;Nord;20102999;bdx;Öppen;FS MB;Norra;UIC_60_B2.5_P-Ec
111;1422;971;1423;987;1016;E;1;Kv;703;UIC;60;L;L;2005;0;Ny;?;R350LHT;B;600;2005;0;?;-;P-Ec;?;?;e10;M1;?;2005;30;b4;3;21;b4;nhsp;TRV;TRV;Nord;20102999;bdx;Öppen;FS MB;Norra;UIC_60_B_P-Ec
111;1424;40;1424;218;178;E;1;Kv;704;UIC;60;L;L;2009;2009;Ny;DO;R350LHT;B2.5;500;2009;2009;ABET;-;P-Ec;eGRÖN;LJGRÖN;e10;M1;?;2009;30;b4;3;21;b4;nhsp;TRV;TRV;Nord;20102999;bdx;Öppen;FS MB;Norra;UIC_60_B2.5_P-Ec
111;1424;218;1433;262;9043;E;;Kv-Rut;9800;UIC;60;L;L;2009;2009;Ny;DO;R350LHT;B2.5;600;2009;2009;ABET;-;P-Ec;eGRÖN;LJGRÖN;e10;M1;?;2009;30;b4;3;21;b4;nhsp;TRV;TRV;Nord;20102999;bdx;Öppen;FS MB;Norra;UIC_60_B2.5_P-Ec
111;1433;262;1433;516;254;E;1;Rut;9801;UIC;60;L;L;2009;2009;Ny;DO;R350LHT;B2.5;600;2009;2009;ABET;-;P-Ec;eGRÖN;LJGRÖN;e10;M1;?;2009;30;b4;3;21;b4;nhsp;TRV;TRV;Nord;20102999;bdx;Öppen;FS MB;Norra;UIC_60_B2.5_P-Ec
111;1433;549;1434;418;870;E;1;Rut;705;UIC;60;L;L;2009;2009;Ny;DO;R350LHT;B2.5;600;2009;2009;ABET;-;P-Ec;eGRÖN;LJGRÖN;e10;M1;?;2009;30;b4;3;21;b4;nhsp;TRV;TRV;Nord;20102999;bdx;Öppen;FS MB;Norra;UIC_60_B2.5_P-Ec
111;1434;452;1434;874;422;E;1;Rut;706;UIC;60;L;L;2021;2021;Ny;?;R400HT;B2.5;600;2009;2009;ABET;-;P-Ec;eGRÖN;LJGRÖN;e10;M1;?;2009;30;b4;3;21;b4;nhsp;TRV;TRV;Nord;20102999;bdx;Öppen;FS MB;Norra;UIC_60_B2.5_P-Ec
111;1434;874;1443;117;8240;E;;Rut-Rsn;9802;UIC;60;L;L;2009;2009;Ny;DO;R350LHT;B2.5;600;2009;2009;ABET;-;P-Ec;eGRÖN;LJGRÖN;e10;M1;?;2009;30;b4;3;21;b4;nhsp;TRV;TRV;Nord;20102999;bdx;Öppen;FS MB;Norra;UIC_60_B2.5_P-Ec
111;1443;117;1443;561;444;E;1;Rsn;9803;UIC;60;L;L;2009;2009;Ny;DO;R350LHT;B2.5;600;2009;2009;ABET;-;P-Ec;eGRÖN;LJGRÖN;e10;M1;?;2009;30;b4;3;21;b4;nhsp;TRV;TRV;Nord;20102999;bdx;Öppen;FS MB;Norra;UIC_60_B2.5_P-Ec
