platsfr;platsti;unespar;sparnr;bdl;kmfr;meterfr;bdl;kmti;meterti;spm;objnr;radie;Km+m;Km+m_ti
Oxd;Oxd;;3;001;0;-717;001;0;-698;19;28265;172,5;-0,717;-0,698
Oxd;Oxd;;3;001;0;-626;001;0;-616;10;28264;726;-0,626;-0,616
Oxd;Oxd;;3;001;0;-616;001;0;-607;9;28263;531;-0,616;-0,607
Oxd;Oxd;;3;001;0;-607;001;0;-597;10;28262;534;-0,607;-0,597
Oxd;Oxd;;sky1;492;0;-403;492;0;-356;47;34763;-430;-0,402655205;-0,355655205
Oxd;Oxd;;2;492;0;-202;492;0;-198;4;28269;479;-0,202;-0,198
Oxd;Oxd;;2;492;0;-198;492;0;-100;98;28268;-2935;-0,198;-0,1
Oxd;Oxd;E;3;492;0;-180;492;0;-160;20;28261;805;-0,18;-0,16
Oxd;Oxd;;46;492;0;-160;492;0;-140;20;34779;6395;-0,16043;-0,14022
Oxd;Oxd;E;3;492;0;-160;492;0;-122;38;28260;1951;-0,16;-0,122
Oxd;Oxd;;46;492;0;-140;492;0;-97;43;34778;2515;-0,14022;-0,09723
Oxd;Oxd;E;3;492;0;-122;492;0;-99;23;28259;-7913;-0,122;-0,099
Oxd;Oxd;;2;492;0;-100;492;0;-80;20;28267;3516;-0,1;-0,08
Oxd;Oxd;E;3;492;0;-99;492;0;-96;3;28258;-99000;-0,099;-0,095514999
Oxd;Oxd;;46;492;0;-97;492;0;-68;29;34765;29000;-0,09723;-0,068
Oxd;Oxd;;4;492;0;-96;492;0;-85;11;34801;-189,15;-0,095524998;-0,084793
Oxd;Oxd;E;3;492;0;-96;492;0;-47;49;28258;-99000;-0,095514999;-0,047
Oxd;Oxd;;4;492;0;-85;492;0;-78;7;34802;-90000;-0,084793;-0,078063
Oxd;Oxd;;4;492;0;-78;492;0;-62;16;34803;-46341;-0,078063;-0,062477
Oxd;Oxd;;46;492;0;-68;492;0;-6;62;34764;1827;-0,068;-0,00632
Oxd;Oxd;;1;001;0;-60;001;0;-2;58;28283;-2348;-0,06;-0,002
Oxd;Oxd;;45;492;0;-59;492;0;-39;20;28295;12405;-0,059;-0,039
Oxd;Oxd;;45;492;0;-39;492;0;-5;34;28296;-28800;-0,039;-0,00507
N;N;E;8s;817;0;-21;817;0;78;99;24772;-1500;-0,020655001;0,078245
Oxd;Oxd;;5;492;0;-5;492;0;39;44;28296;-28800;-0,00507;0,039
Oxd;Oxd;;1;001;0;-2;001;0;4;5;28270;5300;-0,002;0,0035
Hh;Hh;;z1;001;0;0;001;0;0;15;34316;-300;0;0
Gbm;Gbm;;z8;001;0;0;001;0;0;29;34366;215;0;0
Pöb;Pöb;;z510;001;0;0;001;0;0;2;39893;280;0;0
Pöb;Pöb;;z510;001;0;0;001;0;0;10;39894;260;0;0
Pöb;Pöb;;z510;001;0;0;001;0;0;39;39895;5200;0;0
Cst;Cst;N3;13;401;0;0;401;0;6;6;30073;957;0;0,00611
Cst;Cst;;11;401;0;0;401;0;17;17;30063;-550;0;0,016835
Cst;Cst;;10;401;0;0;401;0;20;20;30059;615;0;0,020383
Cst;Cst;;11;401;0;0;401;0;41;41;30064;550;0;0,040848
Cst;Cst;;10;401;0;0;401;0;44;44;30059;615;0;0,04372
Cst;Cst;N1S;13;401;0;0;401;0;69;69;30073;957;0;0,069219
Gua;Gua;;52;823;0;0;823;0;8;8;37413;300;1E-05;0,00801
Tb;Tb;E;1;348;0;0;348;0;55;55;29895;952;0,00001;0,05489
Gnd;Knä;E;;931;0;0;931;0;19;19;33844;-2100;0,00015;0,018817
Oxd;Oxd;;1;001;0;4;001;0;27;24;28270;5300;0,003500198;0,027000198
Cst;Cst;;12a;401;0;4;401;0;68;64;30068;965;0,003743;0,067657
Cst;Cst;;14;401;0;5;401;0;26;22;32539;-10000;0,004516;0,02623
Åp;Åp;E;1;933;0;6;933;0;13;7;39051;20000;0,00585;0,013086
Blg;Blg;;indsp;306;0;8;306;0;21;13;32455;-300;0,00774;0,02074
Humn;Humn;E1;2;171;0;13;171;0;49;36;32856;-600;0,013000001;0,049
Hfj;Hfj;;4;235;0;14;235;0;38;24;35036;222;0,014415;0,03801
Åks;Åks;E;1;453;0;19;453;0;89;71;30309;220;0,018762;0,089365
Tb;Tb;;5;348;0;20;348;0;48;28;38318;314;0,019751;0,048161
U;U;;426-419;429;0;21;429;0;41;21;34216;-300;0,020563999;0,041214
Oxd;Oxd;;122-123;001;0;21;001;0;21;0;34796;5300;0,020973797;0,020983798
Oxd;Oxd;;122-123;492;0;21;492;0;27;6;34796;5300;0,020978997;0,027377797
Pea;Pea;E1;21;112;0;25;112;0;51;25;36324;760;0,025315002;0,050602001
Rsi;Rsi;E2;2;113;0;25;113;0;51;25;17044;-760;0,0254;0,050592
Gua;Gua;;sky.spår;823;0;29;823;0;42;13;37446;-300;0,029012;0,042012
Le;Le;;z107;009;0;31;009;0;160;129;39286;-210;0,03098;0,15998
Ptå;Ptå;;z100;004;0;31;004;0;71;39;38243;735;0,031491;0,070963
Gk;Gk;;10;603;0;32;603;0;75;44;35481;-1830;0,031514;0,075107
Kh;Kh;;z2;001;0;33;001;0;349;316;37822;-210;0,033327006;0,349335006
Pea;Pea;;2;112;0;34;112;0;59;25;36308;760;0,033783001;0,05907
Oxd;Oxd;;2;492;0;36;492;0;64;28;28266;19900;0,036;0,064
U;U;;428-427;429;0;37;429;0;62;25;33417;-760;0,036585999;0,061891
Blg;Blg;;302;306;0;38;306;0;58;20;33267;1000;0,037742002;0,057742002
Gua;Gua;;52;823;0;38;823;0;89;7;37421;200;0,038;0,089407
Gua;Gua;;52;001;0;38;001;0;89;44;37421;200;0,038;0,089407
Hfj;Ndt;;;239;0;38;239;0;341;303;35036;222;0,03801;0,34061
Oxd;Oxd;;5;492;0;39;492;0;43;4;28297;13000;0,038999999;0,042810001
U;U;;6;429;0;40;429;0;61;21;35918;-300;0,039564;0,060926998
Oxd;Oxd;;6;492;0;41;492;0;60;19;34780;-2830;0,040760002;0,060245
Cst;Cst;;18a;401;0;41;401;0;124;82;32544;-445;0,041453;0,123787
Oxd;Oxd;;122-123;492;0;42;492;0;47;5;34797;17000;0,042377797;0,047002797
Oxd;Oxd;;5;492;0;43;492;0;61;18;28297;13000;0,042810001;0,061000004
Cst;Cst;;19a;401;0;44;401;0;158;114;32545;-450;0,044192;0,158174
Cst;Cst;;10;401;0;59;401;0;115;56;30058;600;0,058994;0,114773003
Oxd;Oxd;;6;492;0;60;492;0;86;26;34781;-20000;0,060245;0,085860001
Cst;Cst;;11;401;0;60;401;0;133;72;30062;600;0,060357;0,132737
Cst;Cst;;12b;401;0;62;401;0;126;65;30066;600;0,061506;0,126383
F;F;;100;512;0;62;512;0;101;39;36211;-1000;0,061642;0,100784
Åp;Åp;E;1;933;0;62;933;0;76;14;39052;20000;0,061667;0,075798
Gua;Gua;;sky.spår;823;0;62;823;0;74;12;37447;-1000;0,062012;0,07401
Cst;Cst;N3;13;401;0;63;401;0;128;65;30071;600;0,063151;0,128388
Cst;Cst;;16;401;0;70;401;0;123;53;32541;-445;0,070395;0,123188
Cst;Cst;;17a;401;0;73;401;0;181;108;32543;-600;0,07303;0,180836
Sy;Sy;;z20;001;0;74;001;0;372;298;33280;210;0,0744598;0,372312788
Pea;Pea;;710-705;112;0;76;112;0;101;25;36307;760;0,076326003;0,101423
U;U;;428-427;429;0;79;429;0;104;25;33418;760;0,078932;0,104237
Slg;Slg;;rockh;313;0;83;313;0;223;140;31692;-293;0,083;0,223
U;U;;5;429;0;84;429;0;98;14;35287;-215;0,083813;0,0978
Söd;Söd;;101;410;0;85;410;0;228;143;36928;250;0,084738997;0,227556997
U;U;;6;429;0;86;429;0;98;12;34217;215;0,085696998;0,09775
Oxd;Oxd;;6;492;0;88;492;0;109;21;34781;-20000;0,087960003;0,108568
N;N;E1;1s;817;0;89;817;0;164;75;28221;-1375,5;0,089187;0,164164
Gua;Gua;;52;001;0;89;001;0;115;26;37422;400;0,089407;0,114987
Fln;Fln;;1b;323;0;90;323;0;208;118;38407;-500;0,090206;0,208379
Av;Av;;38;001;0;91;001;0;136;44;37753;200;0,09128;0,135677
Cst;Cst;;14;401;0;92;401;0;150;59;30076;695;0,091676;0,150484
Kaa;Kaa;E1;2;118;0;92;118;0;292;200;34292;600;0,091809999;0,292009999
Cst;Cst;U3;15;401;0;92;401;0;129;37;30112;600;0,09182;0,128978
Bst;Bst;;20;124;0;92;124;0;101;9;35889;-300;0,092336997;0,101488997
Cst;Cst;U1S;15;401;0;93;401;0;167;75;32540;-760;0,09252;0,167410004
Cst;Cst;;17b;401;0;95;401;0;179;84;30080;600;0,094582;0,178678
Cst;Cst;;16;401;0;96;401;0;164;68;30079;550;0,095947;0,163741005
Blg;Blg;;302;306;0;97;306;0;270;173;33268;185;0,097176;0,269835
U;U;;6;429;0;98;429;0;109;12;34217;215;0,09775;0,109492
Bst;Bst;;z20;001;0;101;001;0;170;69;35889;-300;0,101489994;0,169998994
Ä;Ä;;22;905;0;103;905;0;143;40;24889;-380;0,10344;0,143
Öh;Öh;E1;3;435;0;107;435;0;145;38;24458;1000;0,1068538;0,1451968
N;N;E2;1n;817;0;110;817;0;144;34;28220;10000;0,109965004;0,143965004
K;K;E;20;420;0;110;420;0;135;25;28399;-300;0,110007996;0,135185996
Cst;Cst;;14;401;0;111;401;0;114;4;32535;-600;0,110772;0,114498999
Cst;Cst;;14;401;0;114;401;0;164;50;32535;-600;0,114499003;0,164304003
Skbl;Skbl;;04;637;0;115;637;0;160;46;37761;-120;0,114681003;0,160242003
Cst;Cst;;8;401;0;115;401;0;131;17;30058;600;0,114773003;0,131381
Gua;Gua;;52;001;0;115;001;0;199;84;37423;250;0,114987;0,198626
Fln;Fln;;2;323;0;116;323;0;146;31;38410;-300;0,115684;0,146239
Gk;Gk;;10;603;0;121;603;0;164;43;39492;1700;0,121105998;0,164090998
Nyh;Nyh;;3;477;0;121;477;0;231;110;32898;540;0,121465;0,231323
U;U;;6;429;0;122;429;0;138;17;34218;300;0,12172;0,138335999
Gk;Gk;;90;603;0;123;603;0;140;17;39451;600;0,122887001;0,139504797
Bst;Bst;;z20;001;0;123;001;0;233;110;36050;-300;0,123294998;0,232989994
Ök;Ök;;13;171;0;126;171;0;170;45;31346;-300;0,125720001;0,170385001
N;N;E;8s;817;0;127;817;0;167;40;24773;-1000;0,127245;0,167145
Cst;Cst;;10;401;0;128;401;0;155;26;33159;300;0,12824;0,154665
Cst;Cst;U3;15;401;0;129;401;0;188;59;30113;2000;0,128978;0,187774
Cst;Cst;;19b;401;0;130;401;0;200;70;30081;400;0,130077;0,199804
Skbl;Skbl;;01;637;0;131;637;0;160;29;37755;120;0,130804003;0,159963003
Cst;Cst;;11;401;0;131;401;0;153;22;33160;3645;0,130982;0,152547
Cst;Cst;;346b346a;401;0;131;401;0;136;5;33164;-600;0,131114998;0,136254998
Cst;Cst;;18b;401;0;134;401;0;175;41;30115;300;0,134128;0,174991
Nyh;Nyh;;2;477;0;136;477;0;222;87;33108;609,5;0,135661998;0,222263998
Nyh;Nyh;E;1;477;0;136;477;0;221;86;30384;605;0,135663;0,221249
Cst;Cst;;12a;401;0;136;401;0;157;20;33162;-425;0,136093;0,156511
Cst;Cst;;346b346a;401;0;136;401;0;140;4;33165;-320;0,136254998;0,140322998
Åp;Åp;E;1;933;0;137;933;0;197;60;39053;-440;0,137423;0,197095
Gk;Gk;;90;603;0;140;603;0;156;17;39451;600;0,139504802;0,156110005
Mkl;Mkl;E1;21;621;0;140;621;0;158;18;17062;-304;0,139979996;0,158010002
Cst;Cst;;346b346a;401;0;140;401;0;147;6;33166;-760;0,140322998;0,146619998
Cst;Cst;N1S;13;401;0;140;401;0;193;52;33163;-500;0,140366;0,192681
Skbl;Skbl;;02;637;0;145;637;0;156;11;37756;-400;0,144631;0,156128
