,Curve_Kmtal,Curve_Kmtalti,Curve_Langd_m,Curve_Radie_m,Curve_Kmtal_km,Curve_Kmtal_meter,Curve_Kmtaltil_km,Curve_Kmtaltil_meter,Curve_Start_Meters,Curve_End_Meters,Track_Bdl,Track_Km,Track_+m,Track_Kmti,Track_+mti,Track_spm,Track_UNE,Track_spår,Track_Pl/Str,Track_Rälmodell,Track_Räl_vikt(kg/m),Track_Sliper_typ,Track_Befästning_typ,Track_Start_Meters,Track_End_Meters
4,0+-403,0+-356,47.0,-430.0,0.0,-403.0,0.0,-356.0,-403.0,-356.0,492.0,0.0,-403.0,0.0,-247.0,156.0,E,3,Oxd,?,50.0,T,Hey,-403.0,-247.0
5,0+-202,0+-198,4.0,479.0,0.0,-202.0,0.0,-198.0,-202.0,-198.0,492.0,0.0,-202.0,0.0,-107.0,95.0,E,3,Oxd,SJ,50.0,T,Hey,-202.0,-107.0
7,0+-180,0+-160,20.0,805.0,0.0,-180.0,0.0,-160.0,-180.0,-160.0,492.0,0.0,-202.0,0.0,-107.0,95.0,E,3,Oxd,SJ,50.0,T,Hey,-202.0,-107.0
8,0+-160,0+-140,20.215,6395.0,0.0,-160.0,0.0,-140.0,-160.0,-140.0,492.0,0.0,-202.0,0.0,-107.0,95.0,E,3,Oxd,SJ,50.0,T,Hey,-202.0,-107.0
9,0+-160,0+-122,38.0,1951.0,0.0,-160.0,0.0,-122.0,-160.0,-122.0,492.0,0.0,-202.0,0.0,-107.0,95.0,E,3,Oxd,SJ,50.0,T,Hey,-202.0,-107.0
17,0+-76,0+-60,15.586,-46341.0,0.0,-76.0,0.0,-60.0,-76.0,-60.0,492.0,0.0,-78.0,0.0,621.0,699.0,E,3,Oxd,SJ,50.0,T,Hey,-78.0,621.0
18,0+-68,0+-6,74.937,1827.0,0.0,-68.0,0.0,-6.0,-68.0,-6.0,492.0,0.0,-78.0,0.0,621.0,699.0,E,3,Oxd,SJ,50.0,T,Hey,-78.0,621.0
19,0+-60,0+-2,58.0,-2348.0,0.0,-60.0,0.0,-2.0,-60.0,-2.0,492.0,0.0,-78.0,0.0,621.0,699.0,E,3,Oxd,SJ,50.0,T,Hey,-78.0,621.0
20,0+-59,0+-39,20.0,12405.0,0.0,-59.0,0.0,-39.0,-59.0,-39.0,492.0,0.0,-78.0,0.0,621.0,699.0,E,3,Oxd,SJ,50.0,T,Hey,-78.0,621.0
21,0+-39,0+39,77.637,-28800.0,0.0,-39.0,0.0,39.0,-39.0,39.0,492.0,0.0,-78.0,0.0,621.0,699.0,E,3,Oxd,SJ,50.0,T,Hey,-78.0,621.0
22,0+-21,0+78,98.7,-1500.0,0.0,-21.0,0.0,78.0,-21.0,78.0,492.0,0.0,-78.0,0.0,621.0,699.0,E,3,Oxd,SJ,50.0,T,Hey,-78.0,621.0
25,0+0,0+20,19.847,-615.0,0.0,0.0,0.0,20.0,0.0,20.0,429.0,0.0,0.0,0.0,81.0,81.0,N,2,U,E1,60.0,B2.5,P-Fc,0.0,81.0
26,0+0,0+0,28.52,215.0,0.0,0.0,0.0,0.0,0.0,0.0,429.0,0.0,0.0,0.0,81.0,81.0,N,2,U,E1,60.0,B2.5,P-Fc,0.0,81.0
27,0+0,0+32,32.104,-2119.0,0.0,0.0,0.0,32.0,0.0,32.0,429.0,0.0,0.0,0.0,81.0,81.0,N,2,U,E1,60.0,B2.5,P-Fc,0.0,81.0
28,0+0,0+0,24.931,-225.0,0.0,0.0,0.0,0.0,0.0,0.0,429.0,0.0,0.0,0.0,81.0,81.0,N,2,U,E1,60.0,B2.5,P-Fc,0.0,81.0
29,0+0,0+51,25.287,760.0,0.0,0.0,0.0,51.0,0.0,51.0,429.0,0.0,0.0,0.0,81.0,81.0,N,2,U,E1,60.0,B2.5,P-Fc,0.0,81.0
30,0+0,0+17,16.835,-550.0,0.0,0.0,0.0,17.0,0.0,17.0,429.0,0.0,0.0,0.0,81.0,81.0,N,2,U,E1,60.0,B2.5,P-Fc,0.0,81.0
31,0+0,0+0,38.191,240.0,0.0,0.0,0.0,0.0,0.0,0.0,429.0,0.0,0.0,0.0,81.0,81.0,N,2,U,E1,60.0,B2.5,P-Fc,0.0,81.0
32,0+0,0+0,15.075,-300.0,0.0,0.0,0.0,0.0,0.0,0.0,429.0,0.0,0.0,0.0,81.0,81.0,N,2,U,E1,60.0,B2.5,P-Fc,0.0,81.0
33,0+0,0+11,7.25,-990.0,0.0,0.0,0.0,11.0,0.0,11.0,429.0,0.0,0.0,0.0,81.0,81.0,N,2,U,E1,60.0,B2.5,P-Fc,0.0,81.0
34,0+0,0+0,126.794,-145.0,0.0,0.0,0.0,0.0,0.0,0.0,429.0,0.0,0.0,0.0,81.0,81.0,N,2,U,E1,60.0,B2.5,P-Fc,0.0,81.0
35,0+0,0+8,8.0,300.0,0.0,0.0,0.0,8.0,0.0,8.0,429.0,0.0,0.0,0.0,81.0,81.0,N,2,U,E1,60.0,B2.5,P-Fc,0.0,81.0
36,0+0,0+41,40.948,550.0,0.0,0.0,0.0,41.0,0.0,41.0,429.0,0.0,0.0,0.0,81.0,81.0,N,2,U,E1,60.0,B2.5,P-Fc,0.0,81.0
37,0+0,0+72,72.281,990.0,0.0,0.0,0.0,72.0,0.0,72.0,429.0,0.0,0.0,0.0,81.0,81.0,N,2,U,E1,60.0,B2.5,P-Fc,0.0,81.0
38,0+0,0+68,67.709,965.0,0.0,0.0,0.0,68.0,0.0,68.0,429.0,0.0,0.0,0.0,81.0,81.0,N,2,U,E1,60.0,B2.5,P-Fc,0.0,81.0
40,0+0,0+19,18.667,-2100.0,0.0,0.0,0.0,19.0,0.0,19.0,429.0,0.0,0.0,0.0,81.0,81.0,N,2,U,E1,60.0,B2.5,P-Fc,0.0,81.0
41,0+0,0+44,43.679,615.0,0.0,0.0,0.0,44.0,0.0,44.0,429.0,0.0,0.0,0.0,81.0,81.0,N,2,U,E1,60.0,B2.5,P-Fc,0.0,81.0
42,0+0,0+9,9.355,-220.0,0.0,0.0,0.0,9.0,0.0,9.0,429.0,0.0,0.0,0.0,81.0,81.0,N,2,U,E1,60.0,B2.5,P-Fc,0.0,81.0
43,0+4,0+41,20.65,-300.0,0.0,4.0,0.0,41.0,4.0,41.0,429.0,0.0,0.0,0.0,81.0,81.0,N,2,U,E1,60.0,B2.5,P-Fc,0.0,81.0
44,0+6,0+13,7.236,20000.0,0.0,6.0,0.0,13.0,6.0,13.0,429.0,0.0,0.0,0.0,81.0,81.0,N,2,U,E1,60.0,B2.5,P-Fc,0.0,81.0
45,0+8,0+35,26.922,-10000.0,0.0,8.0,0.0,35.0,8.0,35.0,651.0,0.0,8.0,0.0,445.0,437.0,E,4,Uv,?,50.0,T,R-und,8.0,445.0
46,0+8,0+58,25.287,760.0,0.0,8.0,0.0,58.0,8.0,58.0,651.0,0.0,8.0,0.0,445.0,437.0,E,4,Uv,?,50.0,T,R-und,8.0,445.0
47,0+8,0+21,13.0,-300.0,0.0,8.0,0.0,21.0,8.0,21.0,651.0,0.0,8.0,0.0,445.0,437.0,E,4,Uv,?,50.0,T,R-und,8.0,445.0
48,0+13,0+49,36.0,-600.0,0.0,13.0,0.0,49.0,13.0,49.0,651.0,0.0,8.0,0.0,445.0,437.0,E,4,Uv,?,50.0,T,R-und,8.0,445.0
49,0+14,0+341,326.195,222.0,0.0,14.0,0.0,341.0,14.0,341.0,651.0,0.0,8.0,0.0,445.0,437.0,E,4,Uv,?,50.0,T,R-und,8.0,445.0
50,0+15,0+22,7.595,-189.877,0.0,15.0,0.0,22.0,15.0,22.0,651.0,0.0,8.0,0.0,445.0,437.0,E,4,Uv,?,50.0,T,R-und,8.0,445.0
51,0+17,0+33,16.197,-300.0,0.0,17.0,0.0,33.0,17.0,33.0,651.0,0.0,8.0,0.0,445.0,437.0,E,4,Uv,?,50.0,T,R-und,8.0,445.0
52,0+19,0+89,70.603,220.0,0.0,19.0,0.0,89.0,19.0,89.0,651.0,0.0,8.0,0.0,445.0,437.0,E,4,Uv,?,50.0,T,R-und,8.0,445.0
53,0+20,0+30,10.0,190.0,0.0,20.0,0.0,30.0,20.0,30.0,651.0,0.0,8.0,0.0,445.0,437.0,E,4,Uv,?,50.0,T,R-und,8.0,445.0
54,0+21,0+27,6.404,5300.0,0.0,21.0,0.0,27.0,21.0,27.0,651.0,0.0,8.0,0.0,445.0,437.0,E,4,Uv,?,50.0,T,R-und,8.0,445.0
55,0+25,0+51,25.192,-760.0,0.0,25.0,0.0,51.0,25.0,51.0,651.0,0.0,8.0,0.0,445.0,437.0,E,4,Uv,?,50.0,T,R-und,8.0,445.0
56,0+29,0+42,13.0,-300.0,0.0,29.0,0.0,42.0,29.0,42.0,117.0,0.0,29.0,1.0,240.0,1211.0,E1,2,Kaa,BV,50.0,H,Hey,29.0,1240.0
57,0+30,0+32,2.524,190.0,0.0,30.0,0.0,32.0,30.0,32.0,117.0,0.0,29.0,1.0,240.0,1211.0,E1,2,Kaa,BV,50.0,H,Hey,29.0,1240.0
58,0+31,0+71,39.472,735.0,0.0,31.0,0.0,71.0,31.0,71.0,117.0,0.0,29.0,1.0,240.0,1211.0,E1,2,Kaa,BV,50.0,H,Hey,29.0,1240.0
59,0+31,0+160,129.0,-210.0,0.0,31.0,0.0,160.0,31.0,160.0,117.0,0.0,29.0,1.0,240.0,1211.0,E1,2,Kaa,BV,50.0,H,Hey,29.0,1240.0
60,0+32,0+75,43.593,-1830.0,0.0,32.0,0.0,75.0,32.0,75.0,117.0,0.0,29.0,1.0,240.0,1211.0,E1,2,Kaa,BV,50.0,H,Hey,29.0,1240.0
61,0+32,0+77,44.986,125.0,0.0,32.0,0.0,77.0,32.0,77.0,117.0,0.0,29.0,1.0,240.0,1211.0,E1,2,Kaa,BV,50.0,H,Hey,29.0,1240.0
62,0+32,0+40,8.03,-350.0,0.0,32.0,0.0,40.0,32.0,40.0,117.0,0.0,29.0,1.0,240.0,1211.0,E1,2,Kaa,BV,50.0,H,Hey,29.0,1240.0
63,0+33,0+349,316.008,-210.0,0.0,33.0,0.0,349.0,33.0,349.0,117.0,0.0,29.0,1.0,240.0,1211.0,E1,2,Kaa,BV,50.0,H,Hey,29.0,1240.0
64,0+36,0+64,28.0,19900.0,0.0,36.0,0.0,64.0,36.0,64.0,117.0,0.0,29.0,1.0,240.0,1211.0,E1,2,Kaa,BV,50.0,H,Hey,29.0,1240.0
65,0+37,0+62,25.305,-760.0,0.0,37.0,0.0,62.0,37.0,62.0,117.0,0.0,29.0,1.0,240.0,1211.0,E1,2,Kaa,BV,50.0,H,Hey,29.0,1240.0
66,0+38,0+58,20.0,1000.0,0.0,38.0,0.0,58.0,38.0,58.0,117.0,0.0,29.0,1.0,240.0,1211.0,E1,2,Kaa,BV,50.0,H,Hey,29.0,1240.0
67,0+38,0+89,51.407,200.0,0.0,38.0,0.0,89.0,38.0,89.0,117.0,0.0,29.0,1.0,240.0,1211.0,E1,2,Kaa,BV,50.0,H,Hey,29.0,1240.0
68,0+39,0+61,22.0,13000.0,0.0,39.0,0.0,61.0,39.0,61.0,117.0,0.0,29.0,1.0,240.0,1211.0,E1,2,Kaa,BV,50.0,H,Hey,29.0,1240.0
69,0+40,0+78,21.363,-300.0,0.0,40.0,0.0,78.0,40.0,78.0,117.0,0.0,29.0,1.0,240.0,1211.0,E1,2,Kaa,BV,50.0,H,Hey,29.0,1240.0
70,0+41,0+60,53.355,-2830.0,0.0,41.0,0.0,60.0,41.0,60.0,477.0,0.0,41.0,0.0,379.0,338.0,E,1b,Nyc,UIC,60.0,B2.5,P-Ec,41.0,379.0
71,0+42,0+124,81.861,-445.0,0.0,42.0,0.0,124.0,42.0,124.0,477.0,0.0,41.0,0.0,379.0,338.0,E,1b,Nyc,UIC,60.0,B2.5,P-Ec,41.0,379.0
72,0+42,0+47,4.625,17000.0,0.0,42.0,0.0,47.0,42.0,47.0,477.0,0.0,41.0,0.0,379.0,338.0,E,1b,Nyc,UIC,60.0,B2.5,P-Ec,41.0,379.0
74,0+45,0+158,113.493,-450.0,0.0,45.0,0.0,158.0,45.0,158.0,477.0,0.0,41.0,0.0,379.0,338.0,E,1b,Nyc,UIC,60.0,B2.5,P-Ec,41.0,379.0
77,0+52,0+63,10.234,220.0,0.0,52.0,0.0,63.0,52.0,63.0,477.0,0.0,41.0,0.0,379.0,338.0,E,1b,Nyc,UIC,60.0,B2.5,P-Ec,41.0,379.0
87,0+66,0+131,65.058,600.0,0.0,66.0,0.0,131.0,66.0,131.0,822.0,0.0,66.0,0.0,205.0,139.0,E,1,Em,BV,50.0,B,P-Ec,66.0,205.0
88,0+73,0+181,107.818,-600.0,0.0,73.0,0.0,181.0,73.0,181.0,822.0,0.0,66.0,0.0,205.0,139.0,E,1,Em,BV,50.0,B,P-Ec,66.0,205.0
90,0+76,0+126,25.296,760.0,0.0,76.0,0.0,126.0,76.0,126.0,822.0,0.0,66.0,0.0,205.0,139.0,E,1,Em,BV,50.0,B,P-Ec,66.0,205.0
91,0+79,0+133,54.57,320.0,0.0,79.0,0.0,133.0,79.0,133.0,822.0,0.0,66.0,0.0,205.0,139.0,E,1,Em,BV,50.0,B,P-Ec,66.0,205.0
92,0+79,0+130,25.305,760.0,0.0,79.0,0.0,130.0,79.0,130.0,822.0,0.0,66.0,0.0,205.0,139.0,E,1,Em,BV,50.0,B,P-Ec,66.0,205.0
93,0+80,0+150,69.41,-445.0,0.0,80.0,0.0,150.0,80.0,150.0,822.0,0.0,66.0,0.0,205.0,139.0,E,1,Em,BV,50.0,B,P-Ec,66.0,205.0
94,0+83,0+121,38.6,-760.0,0.0,83.0,0.0,121.0,83.0,121.0,817.0,0.0,83.0,0.0,288.0,205.0,E1,1s,N,SJ,50.0,T,Hey,83.0,288.0
95,0+83,0+223,140.0,-293.0,0.0,83.0,0.0,223.0,83.0,223.0,817.0,0.0,83.0,0.0,288.0,205.0,E1,1s,N,SJ,50.0,T,Hey,83.0,288.0
96,0+84,0+98,13.987,-215.0,0.0,84.0,0.0,98.0,84.0,98.0,817.0,0.0,83.0,0.0,288.0,205.0,E1,1s,N,SJ,50.0,T,Hey,83.0,288.0
97,0+85,0+228,142.818,250.0,0.0,85.0,0.0,228.0,85.0,228.0,817.0,0.0,83.0,0.0,288.0,205.0,E1,1s,N,SJ,50.0,T,Hey,83.0,288.0
98,0+85,0+106,20.439,-3375.0,0.0,85.0,0.0,106.0,85.0,106.0,817.0,0.0,83.0,0.0,288.0,205.0,E1,1s,N,SJ,50.0,T,Hey,83.0,288.0
99,0+86,0+109,23.795,215.0,0.0,86.0,0.0,109.0,86.0,109.0,817.0,0.0,83.0,0.0,288.0,205.0,E1,1s,N,SJ,50.0,T,Hey,83.0,288.0
100,0+87,0+106,18.911,-764.5,0.0,87.0,0.0,106.0,87.0,106.0,817.0,0.0,83.0,0.0,288.0,205.0,E1,1s,N,SJ,50.0,T,Hey,83.0,288.0
101,0+87,0+98,11.381,-426.0,0.0,87.0,0.0,98.0,87.0,98.0,817.0,0.0,83.0,0.0,288.0,205.0,E1,1s,N,SJ,50.0,T,Hey,83.0,288.0
102,0+88,0+111,23.465,-3150.0,0.0,88.0,0.0,111.0,88.0,111.0,817.0,0.0,83.0,0.0,288.0,205.0,E1,1s,N,SJ,50.0,T,Hey,83.0,288.0
103,0+89,0+115,25.58,400.0,0.0,89.0,0.0,115.0,89.0,115.0,817.0,0.0,83.0,0.0,288.0,205.0,E1,1s,N,SJ,50.0,T,Hey,83.0,288.0
104,0+89,0+154,65.396,760.0,0.0,89.0,0.0,154.0,89.0,154.0,817.0,0.0,83.0,0.0,288.0,205.0,E1,1s,N,SJ,50.0,T,Hey,83.0,288.0
105,0+89,0+164,75.0,-1375.5,0.0,89.0,0.0,164.0,89.0,164.0,817.0,0.0,83.0,0.0,288.0,205.0,E1,1s,N,SJ,50.0,T,Hey,83.0,288.0
106,0+90,0+208,118.173,-500.0,0.0,90.0,0.0,208.0,90.0,208.0,817.0,0.0,83.0,0.0,288.0,205.0,E1,1s,N,SJ,50.0,T,Hey,83.0,288.0
107,0+91,0+136,44.397,200.0,0.0,91.0,0.0,136.0,91.0,136.0,817.0,0.0,83.0,0.0,288.0,205.0,E1,1s,N,SJ,50.0,T,Hey,83.0,288.0
109,0+92,0+181,89.468,-300.0,0.0,92.0,0.0,181.0,92.0,181.0,817.0,0.0,83.0,0.0,288.0,205.0,E1,1s,N,SJ,50.0,T,Hey,83.0,288.0
