Bandel;Startläge;Slutläge;Spårnamn;Event Category;Event Type;Start Date;End Date;Reference ID;Day Age;Last Edited By;Last Edited Time;Räl Beskrivning Yttersträng;Max Sidoslitage;Max Sidoslitage Yttersträng;Sträcka;Mätning;Befästningsmodell;Längd sträcka H > 6 mm Innersträng (m);Mätning Spårvidd;Spårklass;Räl Inläggningsår Innersträng;Medel Sidoslitage Cirkulärkurva;Hastighetsklass;Medel Spårvidd Cirkulärkurva;Slipermodell;Längd sträcka H > 6 mm Yttersträng (m);Räl Stålsort Yttersträng;Räl Stålsort Innersträng;Medel Höjdslitage Yttersträng Cirkulärkurva;Medel Höjdslitage Innersträng Cirkulärkurva;Radie;Längd sträcka H > 10 mm Innersträng (m);Medel Sidoslitage Innersträng Cirkulärkurva;Procent mätt Spårvidd;Max H Innersträng;Skriptversion;Räl Beskrivning Innersträng;Max H;Längd Kurva (m);_Skapat_av;Max Höjdslitage Innersträng;Medel H Yttersträng Cirkulärkurva;Procent mätt;Medel Spårvidd - Sidoslitage Cirkulärkurva;_Skapat_datum;Medel Höjdslitage Cirkulärkurva;Rälvikt (kg);Medel H Innersträng Cirkulärkurva;Längd sträcka H > 10 mm Yttersträng (m);Max Sidoslitage Innersträng;Max Spårvidd;Medel H Cirkulärkurva;Max Spårvidd - Max Sidoslitage;Max H Yttersträng;Max Höjdslitage;Plats;Längd Spårvidd max över UH1 gräns;Räl Inläggningsår Yttersträng;Skriptnamn;Max Höjdslitage Yttersträng;Min Spårvidd;Medel Sidoslitage Yttersträng Cirkulärkurva;Mätvagn;Mätdatum;Geometrityp;Räl Stålsort Höger räl;Medel Höjdslitage Vänster räl;BIS objnr;Längd sträcka H > 10 mm Vänster räl (m);Medel H Vänster räl;Medel Sidoslitage Vänster räl;Räl Inläggningsår Vänster räl;Räl Inläggningsår Höger räl;Max H Vänster räl;Max Höjdslitage Höger räl;Längd sträcka H > 10 mm Höger räl (m);Max Höjdslitage Vänster räl;Max Sidoslitage Vänster räl;Max Sidoslitage Höger räl;Medel Höjdslitage Höger räl;Medel H Höger räl;Medel Sidoslitage Höger räl;Max H Höger räl;Räl Beskrivning Vänster räl;Längd sträcka H > 6 mm Höger räl (m);Räl Stålsort Vänster räl;Räl Beskrivning Höger räl;Längd sträcka H > 6 mm Vänster räl (m);Medel Sidoslitage;Medel H;Medel Höjdslitage;Radie (meter);Event ID
117A;1299 + 136,0 m;1299 + 337,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;171007 09:07;171207 09:07;2939473702;2579;;;93L60DO93;1,96;1,96;Driftplats (nhsp);RPM_1710070907A_117A_E_1300_980;P-Ec;5.0;;1;1993;0,64;3,0;;B;7.0;1100;1100;4,73;4,25;1810,0;;0,64;;8,77;2.14;93L60DO93;8,77;201;spajan01;8,37;4,99;59;;190301 12:14;4,73;60;4,57;;1,14;;4,99;;8,15;8,37;Hrt;;1993;Rail Wear varningslista;7,91;;0,51;IMV100M;171007 09:07;Kurva;;;600;;;;;;;;;;;;;;;;;;;;;;;;;
117A;1298 + 980,0 m;1299 + 136,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;171007 09:07;171207 09:07;2939473703;2579;;;93L60DO93;3,78;3,78;Linje;RPM_1710070907A_117A_E_1300_980;P-Ec;1.0;;1;1993;2,3;3,0;;B;59.0;1100;1100;4,55;4,33;1194,0;;0,59;;6,03;2.14;93L60DO93;7,11;157;spajan01;5,76;5,7;100;;190301 12:14;4,55;60;4,63;;1,26;;5,7;;7,11;6,12;Rps - Hrt;11.900000000000002;1993;Rail Wear varningslista;6,12;;2,3;IMV100M;171007 09:07;Kurva;;;599;;;;;;;;;;;;;;;;;;;;;;;;;
117A;1298 + 942,0 m;1298 + 980,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;171007 09:07;171207 09:07;2939473704;2579;;;93L60DO93;2,38;2,38;Linje;RPM_1710070907A_117A_E_1300_980;P-Ec;;;1;1993;1,81;3,0;;B;;1100;1100;4,24;4,21;1832,0;;0,6;;5,07;2.14;93L60DO93;5,57;38;spajan01;4,83;5,15;58;;190301 12:14;4,24;60;4,51;;0,76;;5,15;;5,57;4,83;Rps - Hrt;;1993;Rail Wear varningslista;4,58;;1,81;IMV100M;171007 09:07;Kurva;;;598;;;;;;;;;;;;;;;;;;;;;;;;;
117A;1299 + 288,0 m;1299 + 303,0 m;2;RPM Rälslitage i kurva;Rälslitage i kurva;171007 09:07;171207 09:07;2939473705;2579;;;??L60?;0,62;0,62;Driftplats (ahsp);RPM_1710070907A_117A_E_1300_980;P-Fc;;;1;"=""0""";0,38;0,0;;B;;LHT;LHT;2,03;1,93;500,0;;0,13;;2,38;2.14;??L60?;2,65;15;spajan01;2,24;2,22;100;;190301 12:14;2,03;60;2,0;;0,48;;2,22;;2,65;2,34;Hrt;;"=""0""";Rail Wear varningslista;2,34;;0,38;IMV100M;171007 09:07;Kurva;;;36979;;;;;;;;;;;;;;;;;;;;;;;;;
117A;1299 + 351,0 m;1299 + 381,0 m;3;RPM Rälslitage i kurva;Rälslitage i kurva;171007 09:07;171207 09:07;2939473706;2579;;;94L50DOMN;0,88;0,88;Driftplats (ahsp);RPM_1710070907A_117A_E_1300_980;P-Ec;;;2;1994;0,17;0,0;;H;;800;800;2,17;2,07;-300,0;;0,17;;2,87;2.14;94L50DOMN;3,51;30;spajan01;2,79;2,18;100;;190301 12:14;2,17;50;2,15;;0,74;;2,18;;3,51;3,07;Hrt;;1994;Rail Wear varningslista;3,07;;0,02;IMV100M;171007 09:07;Kurva;;;36980;;;;;;;;;;;;;;;;;;;;;;;;;
117A;1291 + 738,0 m;1292 + 0,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;171007 09:10;171207 09:10;2939474094;2579;;;93L60DO93;5,31;5,31;Driftplats (nhsp);RPM_1710070910A_117A_E_1294_233;P-Ec;;;1;2014;4,49;2,0;;?;45.0;1100;1100;3,61;3,72;504,0;;-0,15;;4,48;2.14;93L60DO93;6,77;262;spajan01;4,52;5,85;67;;190301 12:15;3,72;60;3,64;;0,93;;5,85;;6,77;4,59;Rps;699.9000000000003;2014;Rail Wear varningslista;4,59;;4,49;IMV100M;171007 09:10;Kurva;;;38173;;;;;;;;;;;;;;;;;;;;;;;;;
117A;1292 + 897,0 m;1292 + 937,0 m;1;RPM Rälslitage i kurva;Rälslitage i kurva;171007 09:10;171207 09:10;2939474095;2579;;;14L60DO14;0,76;0,6;Driftplats (ahsp);RPM_1710070910A_117A_E_1294_233;P-Ec;;;1;2014;0,51;0,0;;B2.5;;LHT;LHT;1,04;0,77;300,0;;0,51;;1,39;2.14;14L60DO14;1,75;40;spajan01;1,06;1,19;100;;190301 12:15;1,04;60;1,03;;0,76;;1,19;;1,75;1,64;Rps;;2014;Rail Wear varningslista;1,64;;0,31;IMV100M;171007 09:10;Kurva;;;38185;;;;;;;;;;;;;;;;;;;;;;;;;
117A;1292 + 84,0 m;1292 + 149,0 m;1;RPM Rälslitage i kurva;Rälslitage i kurva;171007 09:10;171207 09:10;2939474096;2579;;;94L50DOMN;3,65;3,65;Driftplats (ahsp);RPM_1710070910A_117A_E_1294_233;Hey;;;2;1994;0,95;0,0;;H;;800;800;3,0;3,18;300,0;;0,02;;4,02;2.14;94L50DOMN;4,97;65;spajan01;4,0;2,53;100;;190301 12:15;3,18;50;3,19;;0,4;;3,19;;4,97;6,29;Rps;;1994;Rail Wear varningslista;6,29;;-0,95;IMV100M;171007 09:10;Kurva;;;38182;;;;;;;;;;;;;;;;;;;;;;;;;
117A;1292 + 212,0 m;1292 + 265,0 m;1;RPM Rälslitage i kurva;Rälslitage i kurva;171007 09:10;171207 09:10;2939474097;2579;;;94L50DOMN;1,78;0,25;Driftplats (ahsp);RPM_1710070910A_117A_E_1294_233;Hey;2.0;;2;1994;0,32;0,0;;H;13.0;800;800;2,9;2,82;-8000,0;;-0,23;;6,25;2.14;94L50DOMN;6,57;53;spajan01;5,39;2,73;100;;190301 12:15;2,9;50;2,71;;1,78;;2,73;;6,57;6,73;Rps;;1994;Rail Wear varningslista;6,73;;-0,32;IMV100M;171007 09:10;Kurva;;;38183;;;;;;;;;;;;;;;;;;;;;;;;;
117A;1292 + 702,0 m;1292 + 875,0 m;1;RPM Rälslitage i kurva;Rälslitage i kurva;171007 09:10;171207 09:10;2939474098;2579;;;14L60DO14;2,08;1,51;Driftplats (ahsp);RPM_1710070910A_117A_E_1294_233;P-Ec;4.0;;1;2014;0,49;0,0;;B2.5;2.0;LHT;LHT;0,93;1,17;-2570,0;;0,35;;8,32;2.14;14L60DO14;8,32;173;spajan01;7,28;1,18;100;;190301 12:15;1,17;60;1,35;;2,08;;1,35;;6,78;7,28;Rps;;2014;Rail Wear varningslista;6,16;;0,49;IMV100M;171007 09:10;Kurva;;;55647;;;;;;;;;;;;;;;;;;;;;;;;;
