Bandel,Startläge,Slutläge,Spårnamn,Start Date,End Date,Day Age,Radie,Medel Spårvidd Cirkulärkurva,Mätning Spårvidd
111,"1541 + 604,0 m","1541 + 899,0 m",E,150727 00:00,150927 00:00,3382,583,20,SPL_1507270844A_111_E_1417_874
111,"1436 + 946,0 m","1436 + 981,0 m",E,160810 09:11,161010 09:11,3002,99999,"2,3",SPL_1608100911A_111_E_1417_874
111,"1538 + 92,0 m","1538 + 622,0 m",E,160810 09:11,161010 09:11,3002,496,"16,7",SPL_1608100911A_111_E_1417_874
111,"1480 + 786,0 m","1481 + 135,86 m",E,150727 00:00,150927 00:00,3382,583,"12,3",SPL_1507270844A_111_E_1417_874
111,"1477 + 245,0 m","1477 + 717,0 m",E,150727 00:00,150927 00:00,3382,1480,"3,7",SPL_1507270844A_111_E_1417_874
111,"1451 + 312,0 m","1451 + 547,0 m",E,160810 09:11,161010 09:11,3002,566,"13,1",SPL_1608100911A_111_E_1417_874
111,"1458 + 316,0 m","1458 + 744,0 m",E,150727 00:00,150927 00:00,3382,583,"12,1",SPL_1507270844A_111_E_1417_874
111,"1542 + 184,0 m","1542 + 321,0 m",E,160810 09:11,161010 09:11,3002,-675,"3,5",SPL_1608100911A_111_E_1417_874
111,"1510 + 567,0 m","1510 + 791,0 m",E,150727 00:00,150927 00:00,3382,670,"12,8",SPL_1507270844A_111_E_1417_874
111,"1522 + 480,0 m","1522 + 624,0 m",E,160810 09:11,161010 09:11,3002,1098,"9,8",SPL_1608100911A_111_E_1417_874
111,"1534 + 252,0 m","1534 + 650,0 m",E,160810 09:11,161010 09:11,3002,-600,"14,7",SPL_1608100911A_111_E_1417_874
111,"1529 + 121,12 m","1529 + 585,58 m",E,150727 00:00,150927 00:00,3382,598,"13,9",SPL_1507270844A_111_E_1417_874
111,"1517 + 504,0 m","1517 + 713,0 m",E,150727 00:00,150927 00:00,3382,583,"11,6",SPL_1507270844A_111_E_1417_874
111,"1461 + 121,88 m","1461 + 579,42 m",E,160810 09:11,161010 09:11,3002,-1456,"5,6",SPL_1608100911A_111_E_1417_874
111,"1517 + 504,0 m","1517 + 713,0 m",E,160810 09:11,161010 09:11,3002,583,"13,8",SPL_1608100911A_111_E_1417_874
111,"1519 + 426,43 m","1519 + 749,75 m",E,150727 00:00,150927 00:00,3382,593,"11,9",SPL_1507270844A_111_E_1417_874
111,"1464 + 287,0 m","1464 + 623,0 m",E,150727 00:00,150927 00:00,3382,820,"6,9",SPL_1507270844A_111_E_1417_874
111,"1513 + 968,94 m","1514 + 192,0 m",E,150727 00:00,150927 00:00,3382,660,11,SPL_1507270844A_111_E_1417_874
111,"1500 + 839,0 m","1501 + 477,0 m",E,150727 00:00,150927 00:00,3382,990,"9,6",SPL_1507270844A_111_E_1417_874
111,"1526 + 657,0 m","1526 + 853,0 m",E,150727 00:00,150927 00:00,3382,2015,"6,1",SPL_1507270844A_111_E_1417_874
111,"1526 + 323,0 m","1526 + 519,0 m",E,160810 09:11,161010 09:11,3002,680,"10,7",SPL_1608100911A_111_E_1417_874
111,"1521 + 612,0 m","1521 + 990,0 m",E,150727 00:00,150927 00:00,3382,480,"15,7",SPL_1507270844A_111_E_1417_874
111,"1538 + 775,0 m","1539 + 214,0 m",E,160810 09:11,161010 09:11,3002,588,"19,4",SPL_1608100911A_111_E_1417_874
111,"1441 + 84,0 m","1441 + 474,0 m",E,160810 09:11,161010 09:11,3002,1948,"4,4",SPL_1608100911A_111_E_1417_874
111,"1504 + 600,0 m","1505 + 328,0 m",E,160810 09:11,161010 09:11,3002,592,"13,7",SPL_1608100911A_111_E_1417_874
